RoboCup.robots.robot11.LHipYawPitch.LHip1.LHipRoll.LHip2.LHipPitch.LThigh.LKneePitch.LTibia.LAnklePitch.LAnkle.LAnkleRoll.LFoot.naoLAnkleRollV6.naoLAnkleRollV6_1,57
RoboCup.robots.robot11.LHipYawPitch.LHip1.LHipRoll.LHip2.LHipPitch.LThigh.LKneePitch.LTibia.LAnklePitch.LAnkle.LAnkleRoll.LFoot.naoLAnkleRollV6.naoLAnkleRollV6_2,58
RoboCup.robots.robot11.LHipYawPitch.LHip1.LHipRoll.LHip2.LHipPitch.LThigh.LKneePitch.LTibia.LAnklePitch.LAnkle.LAnkleRoll.LFoot.naoLAnkleRollV6.naoLAnkleRollV6_3,59
RoboCup.robots.robot11.RHipYawPitch.RHip1.naoRHipYawPitch.naoRHipYawPitch_0,60
RoboCup.robots.robot11.RHipYawPitch.RHip1.naoRHipYawPitch.naoRHipYawPitch_1,61
RoboCup.robots.robot11.RHipYawPitch.RHip1.RHipRoll.RHip2.naoRHipRoll_0,62
RoboCup.robots.robot11.RHipYawPitch.RHip1.RHipRoll.RHip2.RHipPitch.RThigh.naoRHipPitch.naoRHipPitch_0,63
RoboCup.robots.robot11.RHipYawPitch.RHip1.RHipRoll.RHip2.RHipPitch.RThigh.naoRHipPitch.naoRHipPitch_1,64
RoboCup.robots.robot11.RHipYawPitch.RHip1.RHipRoll.RHip2.RHipPitch.RThigh.RKneePitch.RTibia.naoRKneePitchV6.naoRKneePitchV6_0,65
RoboCup.robots.robot11.RHipYawPitch.RHip1.RHipRoll.RHip2.RHipPitch.RThigh.RKneePitch.RTibia.naoRKneePitchV6.naoRKneePitchV6_1,66
RoboCup.robots.robot11.RHipYawPitch.RHip1.RHipRoll.RHip2.RHipPitch.RThigh.RKneePitch.RTibia.naoRKneePitchV6.naoRKneePitchV6_2,67
RoboCup.robots.robot11.RHipYawPitch.RHip1.RHipRoll.RHip2.RHipPitch.RThigh.RKneePitch.RTibia.RAnklePitch.RAnkle.naoRAnklePitch_0,68
RoboCup.robots.robot11.RHipYawPitch.RHip1.RHipRoll.RHip2.RHipPitch.RThigh.RKneePitch.RTibia.RAnklePitch.RAnkle.RAnkleRoll.RFoot.naoRAnkleRollV6.naoRAnkleRollV6_0,69
RoboCup.robots.robot11.RHipYawPitch.RHip1.RHipRoll.RHip2.RHipPitch.RThigh.RKneePitch.RTibia.RAnklePitch.RAnkle.RAnkleRoll.RFoot.naoRAnkleRollV6.naoRAnkleRollV6_1,70
RoboCup.robots.robot11.RHipYawPitch.RHip1.RHipRoll.RHip2.RHipPitch.RThigh.RKneePitch.RTibia.RAnklePitch.RAnkle.RAnkleRoll.RFoot.naoRAnkleRollV6.naoRAnkleRollV6_2,71
RoboCup.robots.robot11.RHipYawPitch.RHip1.RHipRoll.RHip2.RHipPitch.RThigh.RKneePitch.RTibia.RAnklePitch.RAnkle.RAnkleRoll.RFoot.naoRAnkleRollV6.naoRAnkleRollV6_3,72
RoboCup.robots.robot2.naoTorsoV6.naoTorsoV6_jersey,73
RoboCup.robots.robot3.naoTorsoV6.naoTorsoV6_jersey,74
RoboCup.robots.robot4.naoTorsoV6.naoTorsoV6_jersey,75
RoboCup.robots.robot5.naoTorsoV6.naoTorsoV6_jersey,76
RoboCup.robots.robot7.naoTorsoV6.naoTorsoV6_jersey,77
RoboCup.robots.robot8.naoTorsoV6.naoTorsoV6_jersey,78
RoboCup.robots.robot9.naoTorsoV6.naoTorsoV6_jersey,79
RoboCup.robots.robot10.naoTorsoV6.naoTorsoV6_jersey,80
RoboCup.robots.robot11.naoTorsoV6.naoTorsoV6_jersey,81
RoboCup.balls.ball.SphereAppearance,82
